Field=Comment~String~Comment~162|Field=Description~String~Description~144|Field=Designator~String~Designator~260|Field=Footprint~String~Footprint~107|Field=LibRef~String~LibRef~78|Field=Quantity~Integer~Quantity~31|Field=Value~String~Value~61|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Inversor_LCEE.PrjPcb|ReportField=ProjectFullPath~C:\Users\fsg-m_000\Google Drive\Projeto Inversor LCEE\Esquemáticos e PCB\Inverter_LCEE\Inversor_LCEE.PrjPcb|ReportField=Title~Bill of Materials For Project [Inversor_LCEE.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~835|ReportField=ReportTime~11:33:29|ReportField=ReportDate~21/10/2016|ReportField=ReportDateTime~21/10/2016 11:33:29|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~21/10/2016|ReportField=CurrentTime~11:20:20|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\fsg-m_000\Google Drive\Projeto Inversor LCEE\Esquemáticos e PCB\Inverter_LCEE\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~19/10/2016|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.98|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=257|PrintQuality=600|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A4|PaperIndex=9|ReportField=ProjectName~Inversor_LCEE.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Inversor_LCEE.PrjPcb|ReportField=DataSourceFullPath~C:\Users\fsg-m_000\Google Drive\Projeto Inversor LCEE\Esquemáticos e PCB\Inverter_LCEE\Inversor_LCEE.PrjPcb
LM7805||||LM7805|1|
Datasheets 74LVC1G125||AND_Designator1, AND_Designator2, AND_Designator3, AND_Designator4, AND_Designator5, AND_Designator6, AND_Designator7, AND_Designator8|SOT353|AND|8|
Cap2|Capacitor|C1H1, C1H2, C1L1, C1L2, C2H1, C2H2, C2L1, C2L2|CAPR5-4X5|Cap2|8|470uF
Cap_0805|Capacitor|C1_Designator1, C1_Designator2, C1_Designator3, C1_Designator4, C1_Designator5, C1_Designator6, C1_Designator7, C1_Designator8, C3_Designator1, C3_Designator2, C3_Designator3, C3_Designator4, C3_Designator5, C3_Designator6, C3_Designator7, C3_Designator8, C?_Phase1_Interlock&Driver, C?_Phase2_Interlock&Driver, C?_Phase3_Interlock&Driver, C?_Phase4_Interlock&Driver|0805_W|Cap_0805|20|10pF
Capacitor_nao_polarizado|Capacitor nao polarizado|C1_Designator9, C1_Designator10, C1_Designator11, C1_Designator12, C1_Designator13, C1_Designator14, C1_Designator15, C1_Designator16, C7_Designator9, C7_Designator10, C7_Designator11, C7_Designator12, C7_Designator13, C7_Designator14, C7_Designator15, C7_Designator16, C19|Capacitor SMD - 0806|Capacitor_nao_polarizado|17|100nF
Cap_0805|Capacitor|C2_Designator1, C2_Designator2, C2_Designator3, C2_Designator4, C2_Designator5, C2_Designator6, C2_Designator7, C2_Designator8|0805_W|Cap_0805|8|1pF
Capacitor_nao_polarizado|Capacitor nao polarizado|C2_Designator9, C2_Designator10, C2_Designator11, C2_Designator12, C2_Designator13, C2_Designator14, C2_Designator15, C2_Designator16|Capacitor SMD - 0806|Capacitor_nao_polarizado|8|220nF
Capacitor_nao_polarizado|Capacitor nao polarizado|C3_Designator9, C3_Designator10, C3_Designator11, C3_Designator12, C3_Designator13, C3_Designator14, C3_Designator15, C3_Designator16|Capacitor SMD - 0806|Capacitor_nao_polarizado|8|1uF
Cap|Capacitor|C4, C6|0805_W|Cap|2|1nF
Cap_0805|Capacitor|C4_Designator1, C4_Designator2, C4_Designator3, C4_Designator4, C4_Designator5, C4_Designator6, C4_Designator7, C4_Designator8, C6_Designator1, C6_Designator2, C6_Designator3, C6_Designator4, C6_Designator5, C6_Designator6, C6_Designator7, C6_Designator8, C8_Designator1, C8_Designator2, C8_Designator3, C8_Designator4, C8_Designator5, C8_Designator6, C8_Designator7, C8_Designator8, C9_Designator1, C9_Designator2, C9_Designator3, C9_Designator4, C9_Designator5, C9_Designator6, C9_Designator7, C9_Designator8, C10_Designator1, C10_Designator2, C10_Designator3, C10_Designator4, C10_Designator5, C10_Designator6, C10_Designator7, C10_Designator8, C11_Designator9, C11_Designator10, C11_Designator11, C11_Designator12, C11_Designator13, C11_Designator14, C11_Designator15, C11_Designator16, Cin2_Designator9, Cin2_Designator10, Cin2_Designator11, Cin2_Designator12, Cin2_Designator13, Cin2_Designator14, Cin2_Designator15, Cin2_Designator16|0805_W|Cap_0805|56|100nF
Capacitor_nao_polarizado|Capacitor nao polarizado|C4_Designator9, C4_Designator10, C4_Designator11, C4_Designator12, C4_Designator13, C4_Designator14, C4_Designator15, C4_Designator16|Capacitor SMD - 0806|Capacitor_nao_polarizado|8|2.2uF
Cap_0805|Capacitor|C5_Designator1, C5_Designator2, C5_Designator3, C5_Designator4, C5_Designator5, C5_Designator6, C5_Designator7, C5_Designator8|0805_W|Cap_0805|8|10nF
Cap_0805|Capacitor|C5_Designator9, C5_Designator10, C5_Designator11, C5_Designator12, C5_Designator13, C5_Designator14, C5_Designator15, C5_Designator16|0805_W|Cap_0805|8|0,1uF
Cap_0805|Capacitor|C7_Designator1, C7_Designator2, C7_Designator3, C7_Designator4, C7_Designator5, C7_Designator6, C7_Designator7, C7_Designator8|0805_W|Cap_0805|8|100pF
Cap_0805|Capacitor|C10_Designator9, C10_Designator10, C10_Designator11, C10_Designator12, C10_Designator13, C10_Designator14, C10_Designator15, C10_Designator16|0805_W|Cap_0805|8|1nF
Capacitor_nao_polarizado|Capacitor nao polarizado|C20|Capacitor SMD - 0806|Capacitor_nao_polarizado|1|10uF
Cap_0805|Capacitor|C107_Phase1_Interlock&Driver, C107_Phase1_Interlock&Driver, C107_Phase2_Interlock&Driver, C107_Phase2_Interlock&Driver, C107_Phase3_Interlock&Driver, C107_Phase3_Interlock&Driver, C107_Phase4_Interlock&Driver, C107_Phase4_Interlock&Driver|0805_W|Cap_0805|8|150pF
Polyester|GRM21BC81E475KA1|Ca1, Cb1, Cc1, Cn1||GRM21BC81E475KA12L|4|4.7uF
C0805C104K5RACTU|C0805C104K5RACTU|Cboot||C0805C104K5RACTU|1|100nF
GRM31CR71H225KA88L|GRM31CR71H225KA8|Cin||GRM31CR71H225KA88L|1|2.2uF
Cap_0805|Capacitor|Cin1_Designator9, Cin1_Designator10, Cin1_Designator11, Cin1_Designator12, Cin1_Designator13, Cin1_Designator14, Cin1_Designator15, Cin1_Designator16|0805_W|Cap_0805|8|1uF
RSS-1212||Conversor 1_Designator9, Conversor 1_Designator10, Conversor 1_Designator11, Conversor 1_Designator12, Conversor 1_Designator13, Conversor 1_Designator14, Conversor 1_Designator15, Conversor 1_Designator16|RSS-1212|RSS-1212|8|
GRM21BC81E475KA12L|GRM21BC81E475KA1|Cout, Cout_2, Cout_3||GRM21BC81E475KA12L|3|4.7uF
GRM155R71C822KA01D|GRM155R71C822KA0|Css||GRM155R71C822KA01D|1|8.2nF
B240A-13-F|B240A-13-F|D1||B240A-13-F|1|500mV
4V7|Zener Diode|D1_Designator1, D1_Designator2, D1_Designator3, D1_Designator4, D1_Designator5, D1_Designator6, D1_Designator7, D1_Designator8|SOD-123|D Zener|8|
B2-SMD|Diodo Schottky|D1_Designator9, D1_Designator10, D1_Designator11, D1_Designator12, D1_Designator13, D1_Designator14, D1_Designator15, D1_Designator16, D2_Designator1, D2_Designator2, D2_Designator3, D2_Designator4, D2_Designator5, D2_Designator6, D2_Designator7, D2_Designator8, D2_Designator9, D2_Designator10, D2_Designator11, D2_Designator12, D2_Designator13, D2_Designator14, D2_Designator15, D2_Designator16, D5_Designator1, D5_Designator2, D5_Designator3, D5_Designator4, D5_Designator5, D5_Designator6, D5_Designator7, D5_Designator8|SOD-123|Schottky|32|
8V2|Zener Diode|D3_Designator1, D3_Designator2, D3_Designator3, D3_Designator4, D3_Designator5, D3_Designator6, D3_Designator7, D3_Designator8|SOD-123|D Zener|8|
Green LED|Typical INFRARED GaAs LED|D4, D5, D17, D27, D28|LED-0|LED0|5|
D Schottky|Schottky Diode|D4_Designator1, D4_Designator2, D4_Designator3, D4_Designator4, D4_Designator5, D4_Designator6, D4_Designator7, D4_Designator8|SOD-123|D Schottky|8|
Diode 1N4148|High Conductance Fast Diode|D6, D7|MINIMELF|Diode 1N4148|2|
