Field=#~Integer~#~50|Field=Comment~String~Comment~125|Field=Description~String~Description~125|Field=Designator~String~Designator~241|Field=Footprint~String~Footprint~86|Field=LibRef~String~LibRef~86|Field=Quantity~Integer~Quantity~87|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~IsolatedPowerSupply.PrjPCB|ReportField=ProjectFullPath~C:\Users\caverna2\Google Drive\Projeto Inversor LCEE\Esquemáticos e PCB\Inverter_LCEE\IsolatedPowerSupply.PrjPCB|ReportField=Title~Bill of Materials For Project [IsolatedPowerSupply.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~42|ReportField=ReportTime~17:51:42|ReportField=ReportDate~01/09/2016|ReportField=ReportDateTime~01/09/2016 17:51:42|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~01/09/2016|ReportField=CurrentTime~17:49:59|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\caverna2\Google Drive\Projeto Inversor LCEE\Esquemáticos e PCB\Inverter_LCEE\Conectors_IsolatedSupply.SchDoc|ReportField=DocumentName~Conectors_IsolatedSupply.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~31/08/2016|ReportField=Organization~|ReportField=ProjectName~IsolatedPowerSupply.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~IsolatedPowerSupply.PrjPCB|ReportField=DataSourceFullPath~C:\Users\caverna2\Google Drive\Projeto Inversor LCEE\Esquemáticos e PCB\Inverter_LCEE\IsolatedPowerSupply.PrjPCB
1|LM7805||*1|LM7805|LM7805|1
2|Capacitor_nao_polarizado|Capacitor nao polarizado|C1, C3, C5|Capacitor SMD - 0806|Capacitor_nao_polarizado|3
3|Capacitor_polarizado|Capacitor polarizado|C2|CApacitor SMD - 22uF|Capacitor_polarizado|1
4|Cap_0805|Capacitor|C4, C6, C7, C8, C9, Cin1, Cin2|0805_W|Cap_0805|7
5|RSS-1212||Conversor 12V-5V|RSS-1212|RSS-1212|1
6|B2-SMD|Diodo Schottky|D1, D2, D3|SOD-123|Schottky|3
7|Header 2|Header, 2-Pin|IN_12V, OUT_5V_iso, OUT_12V_iso|Header2|Header 2|3
8|FOD-817|Optocoupler FOD817|OC1|Opto-GullWing|FOD817|1
9|BC857|PNP General-purpose Transistor|Q1|SOT-23-TT3_N|BC857|1
10|BC847|NPN General-purpose Transistor|Q2, Q3|SOT-23-TT3_N|BC847|2
11|Res_0805|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16|0805_W|Res_0805|16
12|WE-PP||Transformer1|Trafo|Trafo-TI|1
13|TL494ID|Pulse-Width-Modulation Control Circuit|U1|SOIC16_N|TL494ID|1
14|TL431|Programmable Precision Reference|U2|SOT-23-TT3_N|TL431BCLP|1
